data_long1,data_long2,data_long3,data_long4
0.014424451383545,0,4,dm3_R
0.01229966004203,0,5,dldm_R
0.050487000405107,0,6,dm1_R
0.166355821222241,0.8,1,dm4_R
0.222920895347566,0.8,2,dm4m_R
0.097971251532785,0.8,3,dm2_R
0.100475726793536,0.8,4,dm3_R
0.063651338818481,0.8,5,dldm_R
0.032211903770171,0.8,6,dm1_R
0.197377177973447,0.7,1,dm4_R
0.128638447270538,0.7,2,dm4m_R
0.093357902821394,0.7,3,dm2_R
0.023606084347515,0.7,4,dm3_R
0.079556896795315,0.7,5,dldm_R
0.057655689474269,0.7,6,dm1_R
-0.04724070153073,0.4,1,dm4_R
0.033437012579963,0.4,2,dm4m_R
0.160555279318703,0.4,3,dm2_R
0.130990356552846,0.4,4,dm3_R
0.099865787610351,0.4,5,dldm_R
0.2200951777115,0.4,6,dm1_R
0.339134683600109,0.7,1,dm4_R
0.258400196809529,0.7,2,dm4m_R
0.192654149218089,0.7,3,dm2_R
0.146626723830671,0.7,4,dm3_R
0.089890500539147,0.7,5,dldm_R
0.131603525321584,0.7,6,dm1_R
0.159847188323333,0,1,dm4_R
0.132831811755043,0,2,dm4m_R
0.078317668752249,0,3,dm2_R
0.02875233357034,0,4,dm3_R
0.031756486915797,0,5,dldm_R
0.064030147432244,0,6,dm1_R
0.304174082214457,0.8,1,dm4_R
0.229942683351325,0.8,2,dm4m_R
0.156093166847615,0.8,3,dm2_R
0.117609865764686,0.8,4,dm3_R
0.042081001997891,0.8,5,dldm_R
0.134948389824904,0.8,6,dm1_R
0.489723259460682,0.8,1,dm4_R
0.523972572673888,0.8,2,dm4m_R
0.649492471083982,0.8,3,dm2_R
0.740469174411853,0.8,4,dm3_R
0.793826975345912,0.8,5,dldm_R
0.600965067051352,0.8,6,dm1_R
0.198087724308054,0.4,1,dm4_R
0.186388692875958,0.4,2,dm4m_R
0.078945588159538,0.4,3,dm2_R
0.098357163543389,0.4,4,dm3_R
0.048112457758989,0.4,5,dldm_R
0.028222373551624,0.4,6,dm1_R
0.088343112429794,0.7,1,dm4_R
0.129224075517673,0.7,2,dm4m_R
0.086313286365282,0.7,3,dm2_R
0.07446658314919,0.7,4,dm3_R
0.035474206970366,0.7,5,dldm_R
0.109846395782854,0.7,6,dm1_R
0.084221892873061,0,1,dm4_R
0.079554425342663,0,2,dm4m_R
0.070600268811124,0,3,dm2_R
0.034144773674272,0,4,dm3_R
0.076773598333649,0,5,dldm_R
0.051296131486488,0,6,dm1_R
0.077908594264558,0.8,1,dm4_R
0.095109025333337,0.8,2,dm4m_R
0.054275841740742,0.8,3,dm2_R
0.14937252233513,0.8,4,dm3_R
0.016623284764504,0.8,5,dldm_R
0.027127020282894,0.8,6,dm1_R
0.496363888710336,0.4,1,dm4_R
0.35023950786702,0.4,2,dm4m_R
0.223485789558161,0.4,3,dm2_R
0.202648277460277,0.4,4,dm3_R
0.13041178308807,0.4,5,dldm_R
0.210862930818218,0.4,6,dm1_R
0.059377790777727,0.7,1,dm4_R
0.06197522253551,0.7,2,dm4m_R
0.029054435821534,0.7,3,dm2_R
0.21927955010309,0.7,4,dm3_R
0.03235009697892,0.7,5,dldm_R
0.01916309057482,0.7,6,dm1_R
0.00207077433202,0,1,dm4_R
0.04715761938832,0,2,dm4m_R
0.082616652577997,0,3,dm2_R
0.122373261557439,0,4,dm3_R
0.069452038089049,0,5,dldm_R
0.13775700183515,0,6,dm1_R
0.26507331443691,0.8,1,dm4_R
0.241229577594363,0.8,2,dm4m_R
0.202203235745428,0.8,3,dm2_R
0.258007941955844,0.8,4,dm3_R
0.142870419873254,0.8,5,dldm_R
0.170165089639433,0.8,6,dm1_R
0.031447237581725,0,1,dm4_R
0.0168110949141,0,2,dm4m_R
0.029750145726697,0,3,dm2_R
-0.011360028650291,0,4,dm3_R
0.012113005468967,0,5,dldm_R
0.007520071941625,0,6,dm1_R
0.27150787270686,0.7,1,dm4_R
0.210150874217735,0.7,2,dm4m_R
0.151320143813325,0.7,3,dm2_R
0.184419974199552,0.7,4,dm3_R
0.060542191165883,0.7,5,dldm_R
0.060184047900194,0.7,6,dm1_R
0.088046643978518,0.4,1,dm4_R
0.091611801670238,0.4,2,dm4m_R
0.080481639938157,0.4,3,dm2_R
0.084951392858507,0.4,4,dm3_R
0.079283935466715,0.4,5,dldm_R
0.086261926809483,0.4,6,dm1_R
0.116838115337917,0,1,dm4_R
0.063638370668883,0,2,dm4m_R
0.09731910541293,0,3,dm2_R
0.159453956013391,0,4,dm3_R
0.042605593308257,0,5,dldm_R
0.057620240473237,0,6,dm1_R
0.080495251145763,0.8,1,dm4_R
0.077951342703137,0.8,2,dm4m_R
0.066586354457183,0.8,3,dm2_R
0.056233273252201,0.8,4,dm3_R
0.06920790734073,0.8,5,dldm_R
0.081745211518888,0.8,6,dm1_R
0.131730478149921,0.4,1,dm4_R
0.153515215392569,0.4,2,dm4m_R
0.176486111103448,0.4,3,dm2_R
0.056929958716363,0.4,4,dm3_R
0.088748231799017,0.4,5,dldm_R
0.191778237805899,0.4,6,dm1_R
0.104771143312883,0.7,1,dm4_R
0.119220341538554,0.7,2,dm4m_R
0.048707251196217,0.7,3,dm2_R
0.049532954559239,0.7,4,dm3_R
0.037266934037201,0.7,5,dldm_R
0.022628774265952,0.7,6,dm1_R
0.075322036001059,0,1,dm4_R
0.088607772347382,0,2,dm4m_R
0.124114576903496,0,3,dm2_R
0.060345736105779,0,4,dm3_R
0.036695885077786,0,5,dldm_R
0.132036820356008,0,6,dm1_R
0.345605125916392,0.7,1,dm4_R
0.181957995815653,0.7,2,dm4m_R
0.113765457793086,0.7,3,dm2_R
0.111931664966929,0.7,4,dm3_R
0.063778140357395,0.7,5,dldm_R
0.024661917938143,0.7,6,dm1_R
0.01282829151741,0.8,1,dm4_R
0.011145291935511,0.8,2,dm4m_R
0.014672670358662,0.8,3,dm2_R
0.134410535058387,0.8,4,dm3_R
-0.030495092510093,0.8,5,dldm_R
-0.034898429244786,0.8,6,dm1_R
0.16205711392926,0.4,1,dm4_R
0.135800557796899,0.4,2,dm4m_R
0.082450841265562,0.4,3,dm2_R
0.076083421722582,0.4,4,dm3_R
0.087828504378284,0.4,5,dldm_R
0.078298686754403,0.4,6,dm1_R
-0.007818828995224,0.7,1,dm4_R
0.05079853686741,0.7,2,dm4m_R
0.047406047812119,0.7,3,dm2_R
0.015352631563725,0.7,4,dm3_R
