data_long1,data_long2,data_long3,data_long4
0.000749853560114536,0.7,4,dm3_R
0.000339823054381995,0.7,5,dldm_R
0.00100796006849011,0.7,6,dm1_R
0.0039746027044586,0.8,1,dm4_R
0.00422193992842844,0.8,2,dm4m_R
0.00227778319753186,0.8,3,dm2_R
0.00259776974475824,0.8,4,dm3_R
0.000981387911589222,0.8,5,dldm_R
0.000357945506869022,0.8,6,dm1_R
0.00119011899781872,0,1,dm4_R
0.000817983558764091,0,2,dm4m_R
0.000514333337241604,0,3,dm2_R
0.00298010654709636,0,4,dm3_R
0.000366474533121092,0,5,dldm_R
0.00122299045773289,0,6,dm1_R
0.00130113112226125,0.4,1,dm4_R
0.00251448337942546,0.4,2,dm4m_R
0.00137088612589896,0.4,3,dm2_R
0.00110740179797242,0.4,4,dm3_R
0.000285676201385244,0.4,5,dldm_R
0.00062140387250765,0.4,6,dm1_R
0.00144091578665024,0.7,1,dm4_R
0.000970680331772643,0.7,2,dm4m_R
0.000627845679591657,0.7,3,dm2_R
0.000698442497244771,0.7,4,dm3_R
-0.00178403538704327,0.7,5,dldm_R
0.00022567010002363,0.7,6,dm1_R
0.0069249643179591,0.8,1,dm4_R
0.00587110704390572,0.8,2,dm4m_R
0.0072810875069704,0.8,3,dm2_R
0.00925713583009454,0.8,4,dm3_R
0.00852436222632279,0.8,5,dldm_R
0.00479129278967255,0.8,6,dm1_R
0.00170508596891305,0.4,1,dm4_R
0.00350926350244171,0.4,2,dm4m_R
0.00167915582839388,0.4,3,dm2_R
0.00155853607581576,0.4,4,dm3_R
0.00106818927447635,0.4,5,dldm_R
0.000577686876879505,0.4,6,dm1_R
0.00217975956830096,0.7,1,dm4_R
0.0016079393924248,0.7,2,dm4m_R
0.00153751157181021,0.7,3,dm2_R
0.00190738876156696,0.7,4,dm3_R
0.00152013957198153,0.7,5,dldm_R
0.000445179058665259,0.7,6,dm1_R
0.00089389164735856,0,1,dm4_R
0.000770248113815775,0,2,dm4m_R
0.00105312601195786,0,3,dm2_R
0.000982316532729781,0,4,dm3_R
0.00112128693914577,0,5,dldm_R
0.000586645717879668,0,6,dm1_R
0.00751153404040628,0.7,1,dm4_R
0.00548308597313207,0.7,2,dm4m_R
0.00341976428905128,0.7,3,dm2_R
0.000686650436196462,0.7,4,dm3_R
0.00173758755854383,0.7,5,dldm_R
0.00467884006293891,0.7,6,dm1_R
0.00080761056037942,0,1,dm4_R
0.000933069739967649,0,2,dm4m_R
0.00142857238790653,0,3,dm2_R
0.000846641863787486,0,4,dm3_R
0.000879409924213915,0,5,dldm_R
0.0010076699941006,0,6,dm1_R
0.000979675971383061,0.4,1,dm4_R
0.000941257548031282,0.4,2,dm4m_R
0.00121955165313182,0.4,3,dm2_R
0.000472363245860208,0.4,4,dm3_R
0.000297578645426717,0.4,5,dldm_R
0.000209185121499147,0.4,6,dm1_R
0.00213405863687302,0.8,1,dm4_R
0.00529576553462792,0.8,2,dm4m_R
0.00309051737694106,0.8,3,dm2_R
